embb_rate,embb_users,embb_req,urllc_rate,urllc_users,urllc_req,miot_rate,miot_users,miot_req,mmtc_rate,mmtc_users,mmtc_req,voice_rate,voice_users,voice_req
8334567754,102,17021388185,153274797,26,163379619,88720489,41,120478312,69084532,17,75375977,82284386,88,309028643
12857008942,157,32982967888,86468292,27,101585576,94497135,59,219749567,145860696,61,254557072,100031474,107,404279919
13755005703,159,30561653871,126016086,29,149366096,124073142,67,233487817,163079666,70,234816948,102311736,110,392330285
11652149871,142,24660495377,132028980,34,144222746,121124685,73,222372721,126958299,58,165060769,95253848,102,341400481
10561992433,129,21970657209,84141373,23,87730153,97288567,63,152738979,114474678,45,152207923,97371194,105,347911936
8473889324,107,17649379782,104941808,19,111880116,88811076,47,149055171,108330864,31,121173351,89849027,98,287641685
9425184889,110,21606359136,124019132,23,131489527,104730972,48,178714771,102769476,34,122810487,88700650,96,286578677
11703102981,136,26125756193,97856480,21,102667804,99116240,55,178913284,100952588,43,133086513,88257818,99,303591205
9541286013,115,19633649636,103887812,19,106401597,83932566,45,112327740,100791525,32,107062419,79082910,88,280145804
8890254145,109,18498043761,142910078,25,157396485,69197836,34,93780848,105156760,28,110759557,77042157,83,277135177
11616798787,138,27459118862,119757710,28,132023764,102920280,58,222442153,123878646,44,164620008,99183149,103,370466717
12934701895,149,30224676164,176843574,39,219557934,128239763,75,263157553,144753217,59,201536832,95373060,104,354379194
15275556226,175,34698644568,103939680,38,120930048,119983752,83,240686890,158945025,63,226205590,109134903,114,416349278
12139482020,147,24124599819,65960988,20,68336255,114099071,72,186847923,133812559,63,189857136,117379087,126,417449718
10025792476,129,19732992583,195390619,36,214049412,93381449,51,136852863,104015985,44,127029183,101402106,113,330731765
13212201761,155,31554199811,66469223,25,74958938,104917934,68,232744593,135066154,64,213813777,102068688,109,347309747
12924117454,150,30600080381,116949684,27,132546946,119573573,64,216608829,122358936,51,157581859,93502445,103,303477887
13887975659,166,32811245108,172991771,39,198458384,113553064,66,195103485,145537640,59,215705881,95558624,107,347291334
13765627781,162,31120157792,63803910,21,70103415,114692558,73,214923561,157307405,72,234733187,102050976,111,395982090
11657008549,142,24453949805,142531644,26,145841726,101653609,57,157802448,101910535,50,119779494,89153997,96,316993538
8410244789,105,16743244124,84160591,16,84160591,86441188,47,134440854,85347464,25,89529238,87282650,94,287863916
7400789895,95,14816254888,131084429,22,144986352,78039328,38,116800824,114964930,28,136596930,77141577,90,237757835
7468228729,88,15721383722,104467251,29,113378441,91174326,36,130581851,85140040,32,94065233,71238793,83,247466625
13016094453,166,34667257247,114816648,29,131691615,111755580,73,263608703,136966587,61,228811313,99000902,103,423097386
13872898702,163,30807240621,97222868,30,106765095,130272566,85,248477727,166287769,71,250906006,115253047,120,496422529
11408361714,142,23068446684,106951081,27,114739469,97139544,66,151029617,125661428,61,166569452,110419556,116,422327284
9023429127,112,16935187514,173378660,35,197827180,83199254,38,100897748,80334093,36,96081543,105720695,110,355183932
11883500068,150,28076153130,74117789,26,81562686,108701224,60,212184725,142175082,56,238727805,104552992,116,350337029
12408257020,142,27933037244,155752599,34,186733768,120874262,72,248311921,153000320,64,215892751,96695039,109,319744195
12605998527,148,27618938350,107348263,33,123340675,117671702,70,212724680,132531477,70,207628989,86562225,96,297689602
12197085392,141,26304625336,128614606,32,147468547,105475248,66,184787639,136001295,48,164854649,98615516,107,377734004
12498714918,151,26754141120,148347362,34,172512849,111102925,68,208694666,151391456,56,214354892,104849367,112,417209825
